method,constraint_type,n_x,layer,AR_mean,AR_std,AR_median,AR_q25,AR_q75,p_feasible_mean,p_feasible_std,p_feasible_median,p_feasible_q25,p_feasible_q75,p_optimal_mean,p_optimal_std,p_optimal_median,p_optimal_q25,p_optimal_q75
HybridQAOA,assignment+assignment+cardinality,10,1,0.7708375509557792,,0.7708375509557792,0.7708375509557792,0.7708375509557792,1.0,,1.0,1.0,1.0,0.245,,0.245,0.245,0.245
HybridQAOA,assignment+cardinality,7,1,0.39077646122382537,,0.39077646122382537,0.39077646122382537,0.39077646122382537,1.0,,1.0,1.0,1.0,0.145,,0.145,0.145,0.145
HybridQAOA,cardinality+assignment,5,1,0.5921997648709808,,0.5921997648709808,0.5921997648709808,0.5921997648709808,1.0,,1.0,1.0,1.0,0.0,,0.0,0.0,0.0
HybridQAOA,cardinality+assignment,6,1,0.5963320653517606,,0.5963320653517606,0.5963320653517606,0.5963320653517606,1.0,,1.0,1.0,1.0,0.384,,0.384,0.384,0.384
HybridQAOA,cardinality+assignment+knapsack,9,1,0.7007104495636145,,0.7007104495636145,0.7007104495636145,0.7007104495636145,0.914,,0.914,0.914,0.914,0.475,,0.475,0.475,0.475
HybridQAOA,cardinality+cardinality,5,1,0.5722414588989477,,0.5722414588989477,0.5722414588989477,0.5722414588989477,0.241,,0.241,0.241,0.241,0.106,,0.106,0.106,0.106
HybridQAOA,cardinality+cardinality,5,2,0.5890141450750054,,0.5890141450750054,0.5890141450750054,0.5890141450750054,0.0804,,0.0804,0.0804,0.0804,0.0512,,0.0512,0.0512,0.0512
HybridQAOA,cardinality+cardinality,5,3,0.8100617608249409,,0.8100617608249409,0.8100617608249409,0.8100617608249409,0.5836,,0.5836,0.5836,0.5836,0.4585,,0.4585,0.4585,0.4585
HybridQAOA,cardinality+cardinality,5,4,0.8443597563201829,,0.8443597563201829,0.8443597563201829,0.8443597563201829,0.4376,,0.4376,0.4376,0.4376,0.3994,,0.3994,0.3994,0.3994
HybridQAOA,cardinality+cardinality,5,5,0.8885395981492189,,0.8885395981492189,0.8885395981492189,0.8885395981492189,0.7317,,0.7317,0.7317,0.7317,0.6847,,0.6847,0.6847,0.6847
HybridQAOA,cardinality+cardinality,6,1,0.55,,0.55,0.55,0.55,1.0,,1.0,1.0,1.0,0.0,,0.0,0.0,0.0
HybridQAOA,cardinality+cardinality,7,1,0.6412579215726263,,0.6412579215726263,0.6412579215726263,0.6412579215726263,0.965,,0.965,0.965,0.965,0.006,,0.006,0.006,0.006
HybridQAOA,cardinality+cardinality,7,2,0.6106610399575524,,0.6106610399575524,0.6106610399575524,0.6106610399575524,0.2192,,0.2192,0.2192,0.2192,0.0092,,0.0092,0.0092,0.0092
HybridQAOA,cardinality+cardinality,7,3,0.7579878548332996,,0.7579878548332996,0.7579878548332996,0.7579878548332996,0.2092,,0.2092,0.2092,0.2092,0.0026,,0.0026,0.0026,0.0026
HybridQAOA,cardinality+cardinality,7,4,0.8291598052309557,,0.8291598052309557,0.8291598052309557,0.8291598052309557,0.4285,,0.4285,0.4285,0.4285,0.2705,,0.2705,0.2705,0.2705
HybridQAOA,cardinality+cardinality,7,5,0.7977554458385577,,0.7977554458385577,0.7977554458385577,0.7977554458385577,0.1288,,0.1288,0.1288,0.1288,0.0161,,0.0161,0.0161,0.0161
HybridQAOA,cardinality+cardinality,8,1,0.7066264171751276,,0.7066264171751276,0.7066264171751276,0.7066264171751276,0.435,,0.435,0.435,0.435,0.435,,0.435,0.435,0.435
HybridQAOA,cardinality+cardinality,8,2,0.7061720620711368,,0.7061720620711368,0.7061720620711368,0.7061720620711368,0.0978,,0.0978,0.0978,0.0978,0.0978,,0.0978,0.0978,0.0978
HybridQAOA,cardinality+cardinality,8,3,0.7449746023657942,,0.7449746023657942,0.7449746023657942,0.7449746023657942,0.1955,,0.1955,0.1955,0.1955,0.1955,,0.1955,0.1955,0.1955
HybridQAOA,cardinality+cardinality,8,4,0.7876110983330105,,0.7876110983330105,0.7876110983330105,0.7876110983330105,0.7889,,0.7889,0.7889,0.7889,0.7889,,0.7889,0.7889,0.7889
HybridQAOA,cardinality+cardinality,10,1,0.5511043566745467,,0.5511043566745467,0.5511043566745467,0.5511043566745467,1.0,,1.0,1.0,1.0,0.0,,0.0,0.0,0.0
HybridQAOA,cardinality+flow,6,1,0.7995489651701202,,0.7995489651701202,0.7995489651701202,0.7995489651701202,1.0,,1.0,1.0,1.0,0.997,,0.997,0.997,0.997
HybridQAOA,cardinality+flow,7,1,0.6450945520101784,,0.6450945520101784,0.6450945520101784,0.6450945520101784,0.018,,0.018,0.018,0.018,0.0,,0.0,0.0,0.0
HybridQAOA,cardinality+flow,7,2,0.7545111923383204,,0.7545111923383204,0.7545111923383204,0.7545111923383204,0.278,,0.278,0.278,0.278,0.0,,0.0,0.0,0.0
HybridQAOA,cardinality+flow,7,3,0.8543112672365235,,0.8543112672365235,0.8543112672365235,0.8543112672365235,0.1527,,0.1527,0.1527,0.1527,0.0,,0.0,0.0,0.0
HybridQAOA,cardinality+flow,7,4,0.844894002628697,,0.844894002628697,0.844894002628697,0.844894002628697,0.093,,0.093,0.093,0.093,0.0,,0.0,0.0,0.0
HybridQAOA,cardinality+flow,7,5,0.8521841361899692,,0.8521841361899692,0.8521841361899692,0.8521841361899692,0.1404,,0.1404,0.1404,0.1404,0.0,,0.0,0.0,0.0
HybridQAOA,cardinality+flow,8,1,0.6834069104190712,,0.6834069104190712,0.6834069104190712,0.6834069104190712,1.0,,1.0,1.0,1.0,0.078,,0.078,0.078,0.078
HybridQAOA,cardinality+independent_set,6,1,0.7628745116575161,,0.7628745116575161,0.7628745116575161,0.7628745116575161,0.978,,0.978,0.978,0.978,0.0,,0.0,0.0,0.0
HybridQAOA,cardinality+independent_set,7,1,0.7721007601428818,,0.7721007601428818,0.7721007601428818,0.7721007601428818,0.982,,0.982,0.982,0.982,0.226,,0.226,0.226,0.226
HybridQAOA,cardinality+knapsack,4,1,0.7048387672798447,,0.7048387672798447,0.7048387672798447,0.7048387672798447,0.976,,0.976,0.976,0.976,0.78,,0.78,0.78,0.78
HybridQAOA,cardinality+knapsack,5,1,0.8049206528758046,,0.8049206528758046,0.8049206528758046,0.8049206528758046,0.849,,0.849,0.849,0.849,0.022,,0.022,0.022,0.022
HybridQAOA,cardinality+knapsack,5,2,0.7754956833949198,,0.7754956833949198,0.7754956833949198,0.7754956833949198,0.9095,,0.9095,0.9095,0.9095,0.5007,,0.5007,0.5007,0.5007
HybridQAOA,cardinality+knapsack,6,1,0.3468809078610267,,0.3468809078610267,0.3468809078610267,0.3468809078610267,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
HybridQAOA,cardinality+knapsack,6,2,0.4212070788366435,,0.4212070788366435,0.4212070788366435,0.4212070788366435,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
HybridQAOA,cardinality+knapsack,6,3,0.4812139174555892,,0.4812139174555892,0.4812139174555892,0.4812139174555892,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
HybridQAOA,cardinality+knapsack,6,4,0.506603860233448,,0.506603860233448,0.506603860233448,0.506603860233448,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
HybridQAOA,cardinality+knapsack,6,5,0.49961810632721465,,0.49961810632721465,0.49961810632721465,0.49961810632721465,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
HybridQAOA,cardinality+knapsack,7,1,0.32667150387040267,,0.32667150387040267,0.32667150387040267,0.32667150387040267,1.0,,1.0,1.0,1.0,0.987,,0.987,0.987,0.987
HybridQAOA,cardinality+knapsack+knapsack,6,1,0.5708487818783387,,0.5708487818783387,0.5708487818783387,0.5708487818783387,0.557,,0.557,0.557,0.557,0.012,,0.012,0.012,0.012
HybridQAOA,cardinality+knapsack+knapsack,6,2,0.7621513754005789,,0.7621513754005789,0.7621513754005789,0.7621513754005789,0.9042,,0.9042,0.9042,0.9042,0.0143,,0.0143,0.0143,0.0143
HybridQAOA,flow+cardinality,6,1,0.8513929715412186,,0.8513929715412186,0.8513929715412186,0.8513929715412186,1.0,,1.0,1.0,1.0,0.0,,0.0,0.0,0.0
HybridQAOA,flow+cardinality,7,1,0.5260441222830878,,0.5260441222830878,0.5260441222830878,0.5260441222830878,1.0,,1.0,1.0,1.0,0.085,,0.085,0.085,0.085
HybridQAOA,flow+cardinality,8,1,0.2841598687683185,,0.2841598687683185,0.2841598687683185,0.2841598687683185,1.0,,1.0,1.0,1.0,0.0,,0.0,0.0,0.0
HybridQAOA,flow+cardinality,9,1,0.415645244560321,,0.415645244560321,0.415645244560321,0.415645244560321,1.0,,1.0,1.0,1.0,0.0,,0.0,0.0,0.0
HybridQAOA,flow+cardinality+cardinality,9,1,0.5776311528367772,,0.5776311528367772,0.5776311528367772,0.5776311528367772,1.0,,1.0,1.0,1.0,0.0,,0.0,0.0,0.0
HybridQAOA,flow+flow,10,1,0.4272202344838529,,0.4272202344838529,0.4272202344838529,0.4272202344838529,1.0,,1.0,1.0,1.0,0.0,,0.0,0.0,0.0
HybridQAOA,flow+knapsack,7,1,0.6773534638081388,,0.6773534638081388,0.6773534638081388,0.6773534638081388,0.851,,0.851,0.851,0.851,0.0,,0.0,0.0,0.0
HybridQAOA,independent_set+cardinality,4,1,0.8620844904306889,,0.8620844904306889,0.8620844904306889,0.8620844904306889,0.987,,0.987,0.987,0.987,0.677,,0.677,0.677,0.677
HybridQAOA,independent_set+cardinality,5,1,0.6625811737107269,,0.6625811737107269,0.6625811737107269,0.6625811737107269,0.982,,0.982,0.982,0.982,0.0,,0.0,0.0,0.0
HybridQAOA,independent_set+knapsack+cardinality,7,1,0.4128629375875549,,0.4128629375875549,0.4128629375875549,0.4128629375875549,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
HybridQAOA,independent_set+knapsack+cardinality,7,2,0.5414339025017734,,0.5414339025017734,0.5414339025017734,0.5414339025017734,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
HybridQAOA,independent_set+knapsack+cardinality,7,3,0.5999498922154493,,0.5999498922154493,0.5999498922154493,0.5999498922154493,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
HybridQAOA,independent_set+knapsack+cardinality,7,4,0.5983129864609483,,0.5983129864609483,0.5983129864609483,0.5983129864609483,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
HybridQAOA,independent_set+knapsack+cardinality,7,5,0.5700224727209983,,0.5700224727209983,0.5700224727209983,0.5700224727209983,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
HybridQAOA,knapsack+cardinality,4,1,0.2619538525290849,,0.2619538525290849,0.2619538525290849,0.2619538525290849,1.0,,1.0,1.0,1.0,0.992,,0.992,0.992,0.992
HybridQAOA,knapsack+cardinality,5,1,0.5437268171303781,,0.5437268171303781,0.5437268171303781,0.5437268171303781,0.08,,0.08,0.08,0.08,0.043,,0.043,0.043,0.043
HybridQAOA,knapsack+cardinality,5,2,0.6588284458628618,,0.6588284458628618,0.6588284458628618,0.6588284458628618,0.1911,,0.1911,0.1911,0.1911,0.1267,,0.1267,0.1267,0.1267
HybridQAOA,knapsack+cardinality,5,3,0.8403723397294346,,0.8403723397294346,0.8403723397294346,0.8403723397294346,0.6419,,0.6419,0.6419,0.6419,0.5002,,0.5002,0.5002,0.5002
HybridQAOA,knapsack+cardinality,5,4,0.897927023233594,,0.897927023233594,0.897927023233594,0.897927023233594,0.8606,,0.8606,0.8606,0.8606,0.6453,,0.6453,0.6453,0.6453
HybridQAOA,knapsack+cardinality,6,1,0.6876438141729844,,0.6876438141729844,0.6876438141729844,0.6876438141729844,0.393,,0.393,0.393,0.393,0.317,,0.317,0.317,0.317
HybridQAOA,knapsack+cardinality,6,2,0.8522728236486611,,0.8522728236486611,0.8522728236486611,0.8522728236486611,0.6893,,0.6893,0.6893,0.6893,0.5451,,0.5451,0.5451,0.5451
HybridQAOA,knapsack+cardinality,6,3,0.9082234228990813,,0.9082234228990813,0.9082234228990813,0.9082234228990813,0.9247,,0.9247,0.9247,0.9247,0.8014,,0.8014,0.8014,0.8014
HybridQAOA,knapsack+cardinality,6,4,0.8144037422587789,,0.8144037422587789,0.8144037422587789,0.8144037422587789,0.5777,,0.5777,0.5777,0.5777,0.0048,,0.0048,0.0048,0.0048
HybridQAOA,knapsack+cardinality,6,5,0.8517820275169862,,0.8517820275169862,0.8517820275169862,0.8517820275169862,0.7461,,0.7461,0.7461,0.7461,0.2091,,0.2091,0.2091,0.2091
HybridQAOA,knapsack+cardinality,7,1,0.9212331284145753,,0.9212331284145753,0.9212331284145753,0.9212331284145753,0.991,,0.991,0.991,0.991,0.679,,0.679,0.679,0.679
HybridQAOA,knapsack+flow,5,1,0.7284018830385814,,0.7284018830385814,0.7284018830385814,0.7284018830385814,0.923,,0.923,0.923,0.923,0.0,,0.0,0.0,0.0
HybridQAOA,knapsack+flow,6,1,0.7500318169227678,,0.7500318169227678,0.7500318169227678,0.7500318169227678,0.968,,0.968,0.968,0.968,0.0,,0.0,0.0,0.0
HybridQAOA,knapsack+flow,7,1,0.648664935193338,,0.648664935193338,0.648664935193338,0.648664935193338,0.764,,0.764,0.764,0.764,0.0,,0.0,0.0,0.0
HybridQAOA,knapsack+flow,8,1,0.7274987005795385,,0.7274987005795385,0.7274987005795385,0.7274987005795385,1.0,,1.0,1.0,1.0,0.0,,0.0,0.0,0.0
HybridQAOA,knapsack+flow,9,1,0.569300817044703,,0.569300817044703,0.569300817044703,0.569300817044703,0.791,,0.791,0.791,0.791,0.0,,0.0,0.0,0.0
HybridQAOA,knapsack+independent_set,5,1,0.7191390985189131,,0.7191390985189131,0.7191390985189131,0.7191390985189131,0.634,,0.634,0.634,0.634,0.274,,0.274,0.274,0.274
HybridQAOA,knapsack+independent_set,5,2,0.7927847975166896,,0.7927847975166896,0.7927847975166896,0.7927847975166896,0.9003,,0.9003,0.9003,0.9003,0.1107,,0.1107,0.1107,0.1107
HybridQAOA,knapsack+knapsack,4,1,0.7162155144889757,,0.7162155144889757,0.7162155144889757,0.7162155144889757,0.402,,0.402,0.402,0.402,0.172,,0.172,0.172,0.172
HybridQAOA,knapsack+knapsack,4,2,0.8266021785805784,,0.8266021785805784,0.8266021785805784,0.8266021785805784,0.6751,,0.6751,0.6751,0.6751,0.2769,,0.2769,0.2769,0.2769
HybridQAOA,knapsack+knapsack,4,3,0.931405716921383,,0.931405716921383,0.931405716921383,0.931405716921383,0.9078,,0.9078,0.9078,0.9078,0.375,,0.375,0.375,0.375
HybridQAOA,knapsack+knapsack,5,1,0.7044040385710226,,0.7044040385710226,0.7044040385710226,0.7044040385710226,0.691,,0.691,0.691,0.691,0.034,,0.034,0.034,0.034
HybridQAOA,knapsack+knapsack,5,2,0.7985005370528174,,0.7985005370528174,0.7985005370528174,0.7985005370528174,0.9152,,0.9152,0.9152,0.9152,0.0354,,0.0354,0.0354,0.0354
HybridQAOA,knapsack+knapsack+cardinality,7,1,0.5667956500398533,,0.5667956500398533,0.5667956500398533,0.5667956500398533,0.048,,0.048,0.048,0.048,0.016,,0.016,0.016,0.016
HybridQAOA,knapsack+knapsack+cardinality,7,2,0.5434219891442722,,0.5434219891442722,0.5434219891442722,0.5434219891442722,0.0558,,0.0558,0.0558,0.0558,0.0142,,0.0142,0.0142,0.0142
HybridQAOA,knapsack+knapsack+cardinality,7,3,0.6552220433733987,,0.6552220433733987,0.6552220433733987,0.6552220433733987,0.177,,0.177,0.177,0.177,0.0317,,0.0317,0.0317,0.0317
HybridQAOA,knapsack+knapsack+cardinality,7,4,0.7156728786840593,,0.7156728786840593,0.7156728786840593,0.7156728786840593,0.1925,,0.1925,0.1925,0.1925,0.037,,0.037,0.037,0.037
HybridQAOA,knapsack+knapsack+cardinality,7,5,0.7385705009717106,,0.7385705009717106,0.7385705009717106,0.7385705009717106,0.1223,,0.1223,0.1223,0.1223,0.0241,,0.0241,0.0241,0.0241
HybridQAOA,quadratic_knapsack+cardinality,6,1,0.880730669601029,,0.880730669601029,0.880730669601029,0.880730669601029,1.0,,1.0,1.0,1.0,0.043,,0.043,0.043,0.043
HybridQAOA,quadratic_knapsack+cardinality,7,1,0.7670210973814867,,0.7670210973814867,0.7670210973814867,0.7670210973814867,0.723,,0.723,0.723,0.723,0.003,,0.003,0.003,0.003
HybridQAOA,quadratic_knapsack+cardinality,7,2,0.8226437797943006,,0.8226437797943006,0.8226437797943006,0.8226437797943006,0.8163,,0.8163,0.8163,0.8163,0.0037,,0.0037,0.0037,0.0037
PenaltyQAOA,assignment+assignment+cardinality,10,1,0.9002499567554092,,0.9002499567554092,0.9002499567554092,0.9002499567554092,0.1639,,0.1639,0.1639,0.1639,0.0104,,0.0104,0.0104,0.0104
PenaltyQAOA,assignment+assignment+cardinality,10,2,0.9517142539443306,,0.9517142539443306,0.9517142539443306,0.9517142539443306,0.4787,,0.4787,0.4787,0.4787,0.0049,,0.0049,0.0049,0.0049
PenaltyQAOA,assignment+assignment+cardinality,10,3,0.9574764146085697,,0.9574764146085697,0.9574764146085697,0.9574764146085697,0.5208,,0.5208,0.5208,0.5208,0.0108,,0.0108,0.0108,0.0108
PenaltyQAOA,assignment+assignment+cardinality,10,4,0.9613390703864241,,0.9613390703864241,0.9613390703864241,0.9613390703864241,0.553,,0.553,0.553,0.553,0.0007,,0.0007,0.0007,0.0007
PenaltyQAOA,assignment+assignment+cardinality,10,5,0.9628101008894318,,0.9628101008894318,0.9628101008894318,0.9628101008894318,0.6256,,0.6256,0.6256,0.6256,0.0001,,0.0001,0.0001,0.0001
PenaltyQAOA,assignment+cardinality,7,1,0.9610272145295774,,0.9610272145295774,0.9610272145295774,0.9610272145295774,0.5825,,0.5825,0.5825,0.5825,0.0007,,0.0007,0.0007,0.0007
PenaltyQAOA,assignment+cardinality,7,2,0.9899445282172455,,0.9899445282172455,0.9899445282172455,0.9899445282172455,0.8832,,0.8832,0.8832,0.8832,0.0456,,0.0456,0.0456,0.0456
PenaltyQAOA,cardinality+assignment,5,1,0.933858474417615,,0.933858474417615,0.933858474417615,0.933858474417615,0.853,,0.853,0.853,0.853,0.2138,,0.2138,0.2138,0.2138
PenaltyQAOA,cardinality+assignment,6,1,0.9627025275147683,,0.9627025275147683,0.9627025275147683,0.9627025275147683,0.7333,,0.7333,0.7333,0.7333,0.1412,,0.1412,0.1412,0.1412
PenaltyQAOA,cardinality+assignment,6,2,0.9934814866562915,,0.9934814866562915,0.9934814866562915,0.9934814866562915,0.9405,,0.9405,0.9405,0.9405,0.8748,,0.8748,0.8748,0.8748
PenaltyQAOA,cardinality+assignment+knapsack,9,1,0.9312344538539837,,0.9312344538539837,0.9312344538539837,0.9312344538539837,0.0932,,0.0932,0.0932,0.0932,0.013,,0.013,0.013,0.013
PenaltyQAOA,cardinality+assignment+knapsack,9,2,0.9651550394919568,,0.9651550394919568,0.9651550394919568,0.9651550394919568,0.4038,,0.4038,0.4038,0.4038,0.0018,,0.0018,0.0018,0.0018
PenaltyQAOA,cardinality+assignment+knapsack,9,3,0.9844543897964416,,0.9844543897964416,0.9844543897964416,0.9844543897964416,0.7698,,0.7698,0.7698,0.7698,0.0077,,0.0077,0.0077,0.0077
PenaltyQAOA,cardinality+cardinality,5,1,0.9234985788602393,,0.9234985788602393,0.9234985788602393,0.9234985788602393,0.5317,,0.5317,0.5317,0.5317,0.2614,,0.2614,0.2614,0.2614
PenaltyQAOA,cardinality+cardinality,5,2,0.9886149566861472,,0.9886149566861472,0.9886149566861472,0.9886149566861472,0.9426,,0.9426,0.9426,0.9426,0.9293,,0.9293,0.9293,0.9293
PenaltyQAOA,cardinality+cardinality,6,1,0.9210152354038968,,0.9210152354038968,0.9210152354038968,0.9210152354038968,0.4944,,0.4944,0.4944,0.4944,0.2474,,0.2474,0.2474,0.2474
PenaltyQAOA,cardinality+cardinality,6,2,0.9824664227476484,,0.9824664227476484,0.9824664227476484,0.9824664227476484,0.9022,,0.9022,0.9022,0.9022,0.7245,,0.7245,0.7245,0.7245
PenaltyQAOA,cardinality+cardinality,7,1,0.9475186964748141,,0.9475186964748141,0.9475186964748141,0.9475186964748141,0.9946,,0.9946,0.9946,0.9946,0.0039,,0.0039,0.0039,0.0039
PenaltyQAOA,cardinality+cardinality,7,2,0.9917768541690687,,0.9917768541690687,0.9917768541690687,0.9917768541690687,0.9568,,0.9568,0.9568,0.9568,0.4455,,0.4455,0.4455,0.4455
PenaltyQAOA,cardinality+cardinality,8,1,0.9387704534882506,,0.9387704534882506,0.9387704534882506,0.9387704534882506,0.3457,,0.3457,0.3457,0.3457,0.3457,,0.3457,0.3457,0.3457
