method,constraint_type,n_x,layer,AR_mean,AR_std,AR_median,AR_q25,AR_q75,p_feasible_mean,p_feasible_std,p_feasible_median,p_feasible_q25,p_feasible_q75,p_optimal_mean,p_optimal_std,p_optimal_median,p_optimal_q25,p_optimal_q75
PenaltyQAOA,cardinality+cardinality,8,2,0.9900604263390882,,0.9900604263390882,0.9900604263390882,0.9900604263390882,0.8659,,0.8659,0.8659,0.8659,0.8659,,0.8659,0.8659,0.8659
PenaltyQAOA,cardinality+cardinality,8,3,0.991593323977497,,0.991593323977497,0.991593323977497,0.991593323977497,0.8839,,0.8839,0.8839,0.8839,0.1808,,0.1808,0.1808,0.1808
PenaltyQAOA,cardinality+cardinality,8,4,0.9917139350326418,,0.9917139350326418,0.9917139350326418,0.9917139350326418,0.9066,,0.9066,0.9066,0.9066,0.0144,,0.0144,0.0144,0.0144
PenaltyQAOA,cardinality+cardinality,10,1,0.9554442097812993,,0.9554442097812993,0.9554442097812993,0.9554442097812993,0.3817,,0.3817,0.3817,0.3817,0.0204,,0.0204,0.0204,0.0204
PenaltyQAOA,cardinality+cardinality,10,2,0.9857454265802875,,0.9857454265802875,0.9857454265802875,0.9857454265802875,0.7788,,0.7788,0.7788,0.7788,0.249,,0.249,0.249,0.249
PenaltyQAOA,cardinality+flow,6,1,0.9405175195960498,,0.9405175195960498,0.9405175195960498,0.9405175195960498,0.6049,,0.6049,0.6049,0.6049,0.3152,,0.3152,0.3152,0.3152
PenaltyQAOA,cardinality+flow,6,2,0.996991611849769,,0.996991611849769,0.996991611849769,0.996991611849769,0.9796,,0.9796,0.9796,0.9796,0.9783,,0.9783,0.9783,0.9783
PenaltyQAOA,cardinality+flow,7,1,0.904087465894029,,0.904087465894029,0.904087465894029,0.904087465894029,0.3632,,0.3632,0.3632,0.3632,0.136,,0.136,0.136,0.136
PenaltyQAOA,cardinality+flow,7,2,0.9815370929546294,,0.9815370929546294,0.9815370929546294,0.9815370929546294,0.8748,,0.8748,0.8748,0.8748,0.4212,,0.4212,0.4212,0.4212
PenaltyQAOA,cardinality+flow,8,1,0.9515210718948742,,0.9515210718948742,0.9515210718948742,0.9515210718948742,0.5847,,0.5847,0.5847,0.5847,0.0001,,0.0001,0.0001,0.0001
PenaltyQAOA,cardinality+flow,8,2,0.979329733301708,,0.979329733301708,0.979329733301708,0.979329733301708,0.879,,0.879,0.879,0.879,0.0008,,0.0008,0.0008,0.0008
PenaltyQAOA,cardinality+flow,8,3,0.981470250709955,,0.981470250709955,0.981470250709955,0.981470250709955,0.7864,,0.7864,0.7864,0.7864,0.357,,0.357,0.357,0.357
PenaltyQAOA,cardinality+independent_set,6,1,0.9208353940400821,,0.9208353940400821,0.9208353940400821,0.9208353940400821,0.9232,,0.9232,0.9232,0.9232,0.0614,,0.0614,0.0614,0.0614
PenaltyQAOA,cardinality+independent_set,7,1,0.9630257369819646,,0.9630257369819646,0.9630257369819646,0.9630257369819646,0.8164,,0.8164,0.8164,0.8164,0.0914,,0.0914,0.0914,0.0914
PenaltyQAOA,cardinality+knapsack,4,1,0.9555885242547171,,0.9555885242547171,0.9555885242547171,0.9555885242547171,0.7502,,0.7502,0.7502,0.7502,0.7419,,0.7419,0.7419,0.7419
PenaltyQAOA,cardinality+knapsack,5,1,0.9247112858434198,,0.9247112858434198,0.9247112858434198,0.9247112858434198,0.7549,,0.7549,0.7549,0.7549,0.1144,,0.1144,0.1144,0.1144
PenaltyQAOA,cardinality+knapsack,5,2,0.9890913792165468,,0.9890913792165468,0.9890913792165468,0.9890913792165468,0.8267,,0.8267,0.8267,0.8267,0.8021,,0.8021,0.8021,0.8021
PenaltyQAOA,cardinality+knapsack,5,3,0.9483340454579519,,0.9483340454579519,0.9483340454579519,0.9483340454579519,0.5275,,0.5275,0.5275,0.5275,0.1869,,0.1869,0.1869,0.1869
PenaltyQAOA,cardinality+knapsack,5,4,0.8941298786357713,,0.8941298786357713,0.8941298786357713,0.8941298786357713,0.3325,,0.3325,0.3325,0.3325,0.1298,,0.1298,0.1298,0.1298
PenaltyQAOA,cardinality+knapsack,5,5,0.8942932596027136,,0.8942932596027136,0.8942932596027136,0.8942932596027136,0.3827,,0.3827,0.3827,0.3827,0.1386,,0.1386,0.1386,0.1386
PenaltyQAOA,cardinality+knapsack,6,1,0.9385168369210843,,0.9385168369210843,0.9385168369210843,0.9385168369210843,0.3863,,0.3863,0.3863,0.3863,0.0034,,0.0034,0.0034,0.0034
PenaltyQAOA,cardinality+knapsack,6,2,0.9843060081085141,,0.9843060081085141,0.9843060081085141,0.9843060081085141,0.6922,,0.6922,0.6922,0.6922,0.6897,,0.6897,0.6897,0.6897
PenaltyQAOA,cardinality+knapsack,6,3,0.9917121794686944,,0.9917121794686944,0.9917121794686944,0.9917121794686944,0.8857,,0.8857,0.8857,0.8857,0.8714,,0.8714,0.8714,0.8714
PenaltyQAOA,cardinality+knapsack,7,1,0.9803537639635297,,0.9803537639635297,0.9803537639635297,0.9803537639635297,0.6787,,0.6787,0.6787,0.6787,0.3379,,0.3379,0.3379,0.3379
PenaltyQAOA,cardinality+knapsack,7,2,0.996183860485378,,0.996183860485378,0.996183860485378,0.996183860485378,0.9454,,0.9454,0.9454,0.9454,0.4734,,0.4734,0.4734,0.4734
PenaltyQAOA,cardinality+knapsack+knapsack,6,1,0.9541104888730236,,0.9541104888730236,0.9541104888730236,0.9541104888730236,0.7112,,0.7112,0.7112,0.7112,0.0757,,0.0757,0.0757,0.0757
PenaltyQAOA,cardinality+knapsack+knapsack,6,2,0.9760177324941772,,0.9760177324941772,0.9760177324941772,0.9760177324941772,0.8343,,0.8343,0.8343,0.8343,0.089,,0.089,0.089,0.089
PenaltyQAOA,flow+cardinality,6,1,0.9650542553573862,,0.9650542553573862,0.9650542553573862,0.9650542553573862,0.8717,,0.8717,0.8717,0.8717,0.0072,,0.0072,0.0072,0.0072
PenaltyQAOA,flow+cardinality,7,1,0.979627823273857,,0.979627823273857,0.979627823273857,0.979627823273857,0.883,,0.883,0.883,0.883,0.003,,0.003,0.003,0.003
PenaltyQAOA,flow+cardinality,8,1,0.9312127034084845,,0.9312127034084845,0.9312127034084845,0.9312127034084845,0.5113,,0.5113,0.5113,0.5113,0.0096,,0.0096,0.0096,0.0096
PenaltyQAOA,flow+cardinality,8,2,0.9729771600044875,,0.9729771600044875,0.9729771600044875,0.9729771600044875,0.8741,,0.8741,0.8741,0.8741,0.0012,,0.0012,0.0012,0.0012
PenaltyQAOA,flow+cardinality,9,1,0.9338442535635351,,0.9338442535635351,0.9338442535635351,0.9338442535635351,0.6621,,0.6621,0.6621,0.6621,0.0,,0.0,0.0,0.0
PenaltyQAOA,flow+cardinality,9,2,0.9544240497076286,,0.9544240497076286,0.9544240497076286,0.9544240497076286,0.842,,0.842,0.842,0.842,0.0,,0.0,0.0,0.0
PenaltyQAOA,flow+cardinality+cardinality,9,1,0.9005599381047932,,0.9005599381047932,0.9005599381047932,0.9005599381047932,0.4053,,0.4053,0.4053,0.4053,0.0005,,0.0005,0.0005,0.0005
PenaltyQAOA,flow+cardinality+cardinality,9,2,0.9689881659013991,,0.9689881659013991,0.9689881659013991,0.9689881659013991,0.8336,,0.8336,0.8336,0.8336,0.0008,,0.0008,0.0008,0.0008
PenaltyQAOA,flow+flow,10,1,0.903033121951771,,0.903033121951771,0.903033121951771,0.903033121951771,0.2307,,0.2307,0.2307,0.2307,0.0001,,0.0001,0.0001,0.0001
PenaltyQAOA,flow+flow,10,2,0.9564806765429376,,0.9564806765429376,0.9564806765429376,0.9564806765429376,0.7052,,0.7052,0.7052,0.7052,0.0,,0.0,0.0,0.0
PenaltyQAOA,flow+flow,10,3,0.9697390025871755,,0.9697390025871755,0.9697390025871755,0.9697390025871755,0.8287,,0.8287,0.8287,0.8287,0.0,,0.0,0.0,0.0
PenaltyQAOA,flow+knapsack,7,1,0.9220552016329909,,0.9220552016329909,0.9220552016329909,0.9220552016329909,0.4524,,0.4524,0.4524,0.4524,0.105,,0.105,0.105,0.105
PenaltyQAOA,flow+knapsack,7,2,0.9805306844459938,,0.9805306844459938,0.9805306844459938,0.9805306844459938,0.8761,,0.8761,0.8761,0.8761,0.0134,,0.0134,0.0134,0.0134
PenaltyQAOA,independent_set+cardinality,4,1,0.8836940316601838,,0.8836940316601838,0.8836940316601838,0.8836940316601838,0.651,,0.651,0.651,0.651,0.3483,,0.3483,0.3483,0.3483
PenaltyQAOA,independent_set+cardinality,4,2,0.9860909937589399,,0.9860909937589399,0.9860909937589399,0.9860909937589399,0.9699,,0.9699,0.9699,0.9699,0.8736,,0.8736,0.8736,0.8736
PenaltyQAOA,independent_set+cardinality,5,1,0.8936049595496537,,0.8936049595496537,0.8936049595496537,0.8936049595496537,0.6231,,0.6231,0.6231,0.6231,0.1331,,0.1331,0.1331,0.1331
PenaltyQAOA,independent_set+cardinality,5,2,0.9755184322726869,,0.9755184322726869,0.9755184322726869,0.9755184322726869,0.967,,0.967,0.967,0.967,0.5518,,0.5518,0.5518,0.5518
PenaltyQAOA,independent_set+knapsack+cardinality,7,1,0.9177457187793157,,0.9177457187793157,0.9177457187793157,0.9177457187793157,0.153,,0.153,0.153,0.153,0.0089,,0.0089,0.0089,0.0089
PenaltyQAOA,independent_set+knapsack+cardinality,7,2,0.9323494396595163,,0.9323494396595163,0.9323494396595163,0.9323494396595163,0.4284,,0.4284,0.4284,0.4284,0.027,,0.027,0.027,0.027
PenaltyQAOA,independent_set+knapsack+cardinality,7,3,0.9686324087636343,,0.9686324087636343,0.9686324087636343,0.9686324087636343,0.4954,,0.4954,0.4954,0.4954,0.0435,,0.0435,0.0435,0.0435
PenaltyQAOA,independent_set+knapsack+cardinality,7,4,0.9185528491796876,,0.9185528491796876,0.9185528491796876,0.9185528491796876,0.1527,,0.1527,0.1527,0.1527,0.0033,,0.0033,0.0033,0.0033
PenaltyQAOA,independent_set+knapsack+cardinality,7,5,0.8512181545809454,,0.8512181545809454,0.8512181545809454,0.8512181545809454,0.0715,,0.0715,0.0715,0.0715,0.0118,,0.0118,0.0118,0.0118
PenaltyQAOA,knapsack+cardinality,4,1,0.9819680706413753,,0.9819680706413753,0.9819680706413753,0.9819680706413753,0.9049,,0.9049,0.9049,0.9049,0.8768,,0.8768,0.8768,0.8768
PenaltyQAOA,knapsack+cardinality,5,1,0.921169778731418,,0.921169778731418,0.921169778731418,0.921169778731418,0.2418,,0.2418,0.2418,0.2418,0.0006,,0.0006,0.0006,0.0006
PenaltyQAOA,knapsack+cardinality,5,2,0.9313837571717527,,0.9313837571717527,0.9313837571717527,0.9313837571717527,0.1725,,0.1725,0.1725,0.1725,0.1688,,0.1688,0.1688,0.1688
PenaltyQAOA,knapsack+cardinality,5,3,0.9271249391113722,,0.9271249391113722,0.9271249391113722,0.9271249391113722,0.3078,,0.3078,0.3078,0.3078,0.2753,,0.2753,0.2753,0.2753
PenaltyQAOA,knapsack+cardinality,5,4,0.9039472314324345,,0.9039472314324345,0.9039472314324345,0.9039472314324345,0.1041,,0.1041,0.1041,0.1041,0.006,,0.006,0.006,0.006
PenaltyQAOA,knapsack+cardinality,5,5,0.8932432368588036,,0.8932432368588036,0.8932432368588036,0.8932432368588036,0.2476,,0.2476,0.2476,0.2476,0.0144,,0.0144,0.0144,0.0144
PenaltyQAOA,knapsack+cardinality,6,1,0.9675618992368153,,0.9675618992368153,0.9675618992368153,0.9675618992368153,0.791,,0.791,0.791,0.791,0.0,,0.0,0.0,0.0
PenaltyQAOA,knapsack+cardinality,6,2,0.9066542887395526,,0.9066542887395526,0.9066542887395526,0.9066542887395526,0.4089,,0.4089,0.4089,0.4089,0.033,,0.033,0.033,0.033
PenaltyQAOA,knapsack+cardinality,6,3,0.8717331864782134,,0.8717331864782134,0.8717331864782134,0.8717331864782134,0.3246,,0.3246,0.3246,0.3246,0.0242,,0.0242,0.0242,0.0242
PenaltyQAOA,knapsack+cardinality,6,4,0.8867787713011469,,0.8867787713011469,0.8867787713011469,0.8867787713011469,0.3707,,0.3707,0.3707,0.3707,0.0248,,0.0248,0.0248,0.0248
PenaltyQAOA,knapsack+cardinality,6,5,0.8651894262313491,,0.8651894262313491,0.8651894262313491,0.8651894262313491,0.3576,,0.3576,0.3576,0.3576,0.0156,,0.0156,0.0156,0.0156
PenaltyQAOA,knapsack+cardinality,7,1,0.9068170947504473,,0.9068170947504473,0.9068170947504473,0.9068170947504473,0.1911,,0.1911,0.1911,0.1911,0.0535,,0.0535,0.0535,0.0535
PenaltyQAOA,knapsack+cardinality,7,2,0.8797011227295769,,0.8797011227295769,0.8797011227295769,0.8797011227295769,0.3159,,0.3159,0.3159,0.3159,0.1108,,0.1108,0.1108,0.1108
PenaltyQAOA,knapsack+cardinality,7,3,0.8500403082042717,,0.8500403082042717,0.8500403082042717,0.8500403082042717,0.2172,,0.2172,0.2172,0.2172,0.0741,,0.0741,0.0741,0.0741
PenaltyQAOA,knapsack+cardinality,7,4,0.8233887117713947,,0.8233887117713947,0.8233887117713947,0.8233887117713947,0.0721,,0.0721,0.0721,0.0721,0.0203,,0.0203,0.0203,0.0203
PenaltyQAOA,knapsack+cardinality,7,5,0.8259208639551814,,0.8259208639551814,0.8259208639551814,0.8259208639551814,0.1234,,0.1234,0.1234,0.1234,0.0534,,0.0534,0.0534,0.0534
PenaltyQAOA,knapsack+flow,5,1,0.8511061740337823,,0.8511061740337823,0.8511061740337823,0.8511061740337823,0.4349,,0.4349,0.4349,0.4349,0.0205,,0.0205,0.0205,0.0205
PenaltyQAOA,knapsack+flow,5,2,0.8439903325596083,,0.8439903325596083,0.8439903325596083,0.8439903325596083,0.5292,,0.5292,0.5292,0.5292,0.0604,,0.0604,0.0604,0.0604
PenaltyQAOA,knapsack+flow,5,3,0.8281326054696782,,0.8281326054696782,0.8281326054696782,0.8281326054696782,0.4646,,0.4646,0.4646,0.4646,0.0764,,0.0764,0.0764,0.0764
PenaltyQAOA,knapsack+flow,5,4,0.8374521798599259,,0.8374521798599259,0.8374521798599259,0.8374521798599259,0.3262,,0.3262,0.3262,0.3262,0.066,,0.066,0.066,0.066
PenaltyQAOA,knapsack+flow,5,5,0.8323290526635273,,0.8323290526635273,0.8323290526635273,0.8323290526635273,0.372,,0.372,0.372,0.372,0.061,,0.061,0.061,0.061
PenaltyQAOA,knapsack+flow,6,1,0.9129187829972157,,0.9129187829972157,0.9129187829972157,0.9129187829972157,0.3278,,0.3278,0.3278,0.3278,0.0072,,0.0072,0.0072,0.0072
PenaltyQAOA,knapsack+flow,6,2,0.8917355028496363,,0.8917355028496363,0.8917355028496363,0.8917355028496363,0.2698,,0.2698,0.2698,0.2698,0.003,,0.003,0.003,0.003
PenaltyQAOA,knapsack+flow,6,3,0.8705623287634414,,0.8705623287634414,0.8705623287634414,0.8705623287634414,0.4046,,0.4046,0.4046,0.4046,0.0087,,0.0087,0.0087,0.0087
PenaltyQAOA,knapsack+flow,6,4,0.8485373687599053,,0.8485373687599053,0.8485373687599053,0.8485373687599053,0.2932,,0.2932,0.2932,0.2932,0.0022,,0.0022,0.0022,0.0022
PenaltyQAOA,knapsack+flow,6,5,0.8393374618439324,,0.8393374618439324,0.8393374618439324,0.8393374618439324,0.298,,0.298,0.298,0.298,0.0126,,0.0126,0.0126,0.0126
PenaltyQAOA,knapsack+flow,7,1,0.8602945607961607,,0.8602945607961607,0.8602945607961607,0.8602945607961607,0.3104,,0.3104,0.3104,0.3104,0.0432,,0.0432,0.0432,0.0432
PenaltyQAOA,knapsack+flow,7,2,0.8418562641621407,,0.8418562641621407,0.8418562641621407,0.8418562641621407,0.2671,,0.2671,0.2671,0.2671,0.0071,,0.0071,0.0071,0.0071
PenaltyQAOA,knapsack+flow,7,3,0.8326098197658902,,0.8326098197658902,0.8326098197658902,0.8326098197658902,0.2243,,0.2243,0.2243,0.2243,0.0089,,0.0089,0.0089,0.0089
PenaltyQAOA,knapsack+flow,7,4,0.8297085042698712,,0.8297085042698712,0.8297085042698712,0.8297085042698712,0.2021,,0.2021,0.2021,0.2021,0.0096,,0.0096,0.0096,0.0096
PenaltyQAOA,knapsack+flow,7,5,0.8285511721841365,,0.8285511721841365,0.8285511721841365,0.8285511721841365,0.1971,,0.1971,0.1971,0.1971,0.0072,,0.0072,0.0072,0.0072
PenaltyQAOA,knapsack+flow,8,1,0.9633099307885696,,0.9633099307885696,0.9633099307885696,0.9633099307885696,0.9486,,0.9486,0.9486,0.9486,0.0,,0.0,0.0,0.0
PenaltyQAOA,knapsack+flow,9,1,0.8786703838836712,,0.8786703838836712,0.8786703838836712,0.8786703838836712,0.4258,,0.4258,0.4258,0.4258,0.0035,,0.0035,0.0035,0.0035
PenaltyQAOA,knapsack+flow,9,2,0.8645064758414152,,0.8645064758414152,0.8645064758414152,0.8645064758414152,0.3562,,0.3562,0.3562,0.3562,0.0012,,0.0012,0.0012,0.0012
PenaltyQAOA,knapsack+flow,9,3,0.8667438764138509,,0.8667438764138509,0.8667438764138509,0.8667438764138509,0.2833,,0.2833,0.2833,0.2833,0.0025,,0.0025,0.0025,0.0025
PenaltyQAOA,knapsack+flow,9,4,0.8493323543269871,,0.8493323543269871,0.8493323543269871,0.8493323543269871,0.2905,,0.2905,0.2905,0.2905,0.0051,,0.0051,0.0051,0.0051
PenaltyQAOA,knapsack+flow,9,5,0.8540086315514669,,0.8540086315514669,0.8540086315514669,0.8540086315514669,0.2999,,0.2999,0.2999,0.2999,0.0033,,0.0033,0.0033,0.0033
PenaltyQAOA,knapsack+independent_set,5,1,0.8041311107381961,,0.8041311107381961,0.8041311107381961,0.8041311107381961,0.238,,0.238,0.238,0.238,0.0274,,0.0274,0.0274,0.0274
PenaltyQAOA,knapsack+independent_set,5,2,0.8140147707057057,,0.8140147707057057,0.8140147707057057,0.8140147707057057,0.2361,,0.2361,0.2361,0.2361,0.0504,,0.0504,0.0504,0.0504
PenaltyQAOA,knapsack+independent_set,5,3,0.8033264672068439,,0.8033264672068439,0.8033264672068439,0.8033264672068439,0.2368,,0.2368,0.2368,0.2368,0.0445,,0.0445,0.0445,0.0445
PenaltyQAOA,knapsack+independent_set,5,4,0.808122253266145,,0.808122253266145,0.808122253266145,0.808122253266145,0.2155,,0.2155,0.2155,0.2155,0.0269,,0.0269,0.0269,0.0269
PenaltyQAOA,knapsack+independent_set,5,5,0.7996649675917038,,0.7996649675917038,0.7996649675917038,0.7996649675917038,0.1726,,0.1726,0.1726,0.1726,0.0405,,0.0405,0.0405,0.0405
PenaltyQAOA,knapsack+knapsack,4,1,0.9668007387078102,,0.9668007387078102,0.9668007387078102,0.9668007387078102,0.4191,,0.4191,0.4191,0.4191,0.385,,0.385,0.385,0.385
PenaltyQAOA,knapsack+knapsack,4,2,0.9854322221857131,,0.9854322221857131,0.9854322221857131,0.9854322221857131,0.4401,,0.4401,0.4401,0.4401,0.4332,,0.4332,0.4332,0.4332
PenaltyQAOA,knapsack+knapsack,4,3,0.9878797166448289,,0.9878797166448289,0.9878797166448289,0.9878797166448289,0.5089,,0.5089,0.5089,0.5089,0.5051,,0.5051,0.5051,0.5051
PenaltyQAOA,knapsack+knapsack,4,4,0.9901034759272356,,0.9901034759272356,0.9901034759272356,0.9901034759272356,0.4827,,0.4827,0.4827,0.4827,0.4781,,0.4781,0.4781,0.4781
PenaltyQAOA,knapsack+knapsack,4,5,0.9496046110630378,,0.9496046110630378,0.9496046110630378,0.9496046110630378,0.4881,,0.4881,0.4881,0.4881,0.1128,,0.1128,0.1128,0.1128
PenaltyQAOA,knapsack+knapsack,5,1,0.8697896124279166,,0.8697896124279166,0.8697896124279166,0.8697896124279166,0.6099,,0.6099,0.6099,0.6099,0.0256,,0.0256,0.0256,0.0256
PenaltyQAOA,knapsack+knapsack,5,2,0.8477517798780753,,0.8477517798780753,0.8477517798780753,0.8477517798780753,0.6298,,0.6298,0.6298,0.6298,0.041,,0.041,0.041,0.041
PenaltyQAOA,knapsack+knapsack,5,3,0.8537324495062201,,0.8537324495062201,0.8537324495062201,0.8537324495062201,0.4421,,0.4421,0.4421,0.4421,0.0295,,0.0295,0.0295,0.0295
PenaltyQAOA,knapsack+knapsack,5,4,0.838927523113431,,0.838927523113431,0.838927523113431,0.838927523113431,0.5089,,0.5089,0.5089,0.5089,0.0275,,0.0275,0.0275,0.0275
PenaltyQAOA,knapsack+knapsack,5,5,0.8441411374163887,,0.8441411374163887,0.8441411374163887,0.8441411374163887,0.5326,,0.5326,0.5326,0.5326,0.0439,,0.0439,0.0439,0.0439
PenaltyQAOA,knapsack+knapsack+cardinality,7,1,0.9304133828113995,,0.9304133828113995,0.9304133828113995,0.9304133828113995,0.2246,,0.2246,0.2246,0.2246,0.0092,,0.0092,0.0092,0.0092
PenaltyQAOA,knapsack+knapsack+cardinality,7,2,0.9768789683665567,,0.9768789683665567,0.9768789683665567,0.9768789683665567,0.7809,,0.7809,0.7809,0.7809,0.0028,,0.0028,0.0028,0.0028
PenaltyQAOA,quadratic_knapsack+cardinality,6,1,0.9249253120809551,,0.9249253120809551,0.9249253120809551,0.9249253120809551,0.8752,,0.8752,0.8752,0.8752,0.0169,,0.0169,0.0169,0.0169
PenaltyQAOA,quadratic_knapsack+cardinality,7,1,0.8776591843529626,,0.8776591843529626,0.8776591843529626,0.8776591843529626,0.846,,0.846,0.846,0.846,0.0079,,0.0079,0.0079,0.0079
